
====================
Pre-Training: Constraint-Structured Initialization (Sample-Based)
====================
  GV (Φ) pre-training ENABLED (using provided GV_net)
[Check] epoch=000490  1.000e-01 
Refining generator cells: 843 failing, refined 100 cells, 2364 total
Rebuilding V cache with 94008 cells...
Rebuilding Phi cache with 2364 cells...
Caches rebuilt successfully!
Merging outside cells: merged 5341 pairs, 9371 total
Merging generator cells: merged 0 pairs, 2364 total
Epoch   500 | Total: 10487.3320 | Goal: 436.7094 | Unsafe: 2339.1809 | Init:  42.0601 | Outside: 650.0962 | Gen: 7019.2856

Epoch 500 - Detailed Evaluation:
Goal:      FAIL, V bounds: [ -0.277,   8.516]
Unsafe:    FAIL, V bounds: [  1.828,  78.367]
Init:      FAIL, V bounds: [  0.593,   1.108]
Outside:   FAIL, V bounds: [ -0.602,  76.702]
Generator: FAIL, GV bounds: [-58.961, 212.681]
[Check] epoch=000500  1.000e-01 
Rebuilding V cache with 88667 cells...
Rebuilding Phi cache with 2364 cells...
Caches rebuilt successfully!
Epoch   510 | Total: 9406.9307 | Goal: 375.3981 | Unsafe: 2569.7607 | Init:  59.3949 | Outside: 569.1284 | Gen: 5833.2480
[Check] epoch=000510  1.000e-01 
Epoch   520 | Total: 8902.3535 | Goal: 514.6129 | Unsafe: 2345.3999 | Init:  14.6456 | Outside: 808.9899 | Gen: 5218.7051
[Check] epoch=000520  1.000e-01 
Epoch   530 | Total: 8080.2236 | Goal: 487.1643 | Unsafe: 2365.4399 | Init: 134.8718 | Outside: 717.7484 | Gen: 4374.9990
[Check] epoch=000530  1.000e-01 
Epoch   540 | Total: 7509.7744 | Goal: 412.0095 | Unsafe: 2490.8696 | Init:  48.6839 | Outside: 654.5278 | Gen: 3903.6836
[Check] epoch=000540  1.000e-01 
Traceback (most recent call last):
  File "/Users/sebastianescobar/Desktop/Neural_Certificate/examples/synthesis/xv15aircraft_syn/main.py", line 2608, in <module>
  File "/Users/sebastianescobar/Desktop/Neural_Certificate/examples/synthesis/xv15aircraft_syn/main.py", line 2358, in main
    GV_net=GV_net,
                  
