Network: 3 -> 64 -> 64 -> 1
Training: 200000 epochs, LR=0.005
Constraints: beta_s=0.0, beta_ra=5.0
Generator: weight=1.0, start_epoch=0
Training method: CROWN bounds (rigorous)

Dynamics(dim=3, f(x)=<callable>, g(x)=<callable>)
V network: ValueNetwork(
  input_dim=3,
  hidden=[64, 64],
  output_dim=1,
  activation=builtin_function_or_method,
  input_scale=[6.0, 6.0, 6.0],
  scale_factor=20.0
)

Using device: cpu

================================================================================
PRE-TRAINING: Constraint-Structured Initialization (Sample-Based)
================================================================================
  GV (Φ) pre-training ENABLED (using provided GV_net)
Epoch     0 | Total: 338102.5625 | Goal: 0.0000 | Unsafe: 3086.8694 | Init: 0.3400 | Outside: 242.8470 | Boundary: 27.7148 | Gen: 3.347725e+05
 ✓ Inside Goal passed, min V= 0.2796, min V_outside_lower= -1.1542, min V_lower=0.1888

Epoch 0 - Detailed Evaluation:
  Constraint Satisfaction:
    Goal:      ✓ (V_min=0.189, V_mean=0.295, V_max=0.434)
    Unsafe:    ✗ (V_min=2.174, V_max=13.940)
    Init:      ✗ (V_min=0.089, V_max=1.087)
    Outside:   ✗ (V_min=-1.154, V_max=15.284)
    Boundary:  ✓ (V_min=0.000, V_max=0.000)
    Generator: ✗ (Phi_upper_min=-3.304611e+01, Phi_upper_max=5.590357e+02, failing=1739)
  Goal bounds: V ∈ [0.189, 0.434]
  Unsafe bounds: V ∈ [2.174, 13.940]
  Generator bounds: Φ ∈ [-3.304611e+01, 5.590357e+02]
